level1,level2,clc_code,level3,value,colour
Artificial surfaces,Urban fabric,111,Continuous urban fabric,1,#E6004D
Artificial surfaces,Urban fabric,112,Discontinuous urban fabric,2,#FF0000
Artificial surfaces,"Industrial, commercial and transport units",121,Industrial or commercial units,3,#CC4DF2
Artificial surfaces,"Industrial, commercial and transport units",122,Road and rail networks and associated land,4,#CC0000
Artificial surfaces,"Industrial, commercial and transport units",123,Port areas,5,#E6CCCC
Artificial surfaces,"Industrial, commercial and transport units",124,Airports,6,#E6CCE6
Artificial surfaces,"Mine, dump and construction sites",131,Mineral extraction sites,7,#A600CC
Artificial surfaces,"Mine, dump and construction sites",132,Dump sites,8,#A64D00
Artificial surfaces,"Mine, dump and construction sites",133,Construction sites,9,#FF4DFF
Artificial surfaces,"Artificial, non-agricultural vegetated areas",141,Green urban areas,10,#FFA6FF
Artificial surfaces,"Artificial, non-agricultural vegetated areas",142,Sport and leisure facilities,11,#FFE6FF
Agricultural areas,Arable land,211,Non-irrigated arable land,12,#FFFFA8
Agricultural areas,Arable land,212,Permanently irrigated land,13,#FFFF00
Agricultural areas,Arable land,213,Rice fields,14,#E6E600
Agricultural areas,Permanent crops,221,Vineyards,15,#E68000
Agricultural areas,Permanent crops,222,Fruit trees and berry plantations,16,#F2A64D
Agricultural areas,Permanent crops,223,Olive groves,17,#E6A600
Agricultural areas,Pastures,231,Pastures,18,#E6E64D
Agricultural areas,Heterogeneous agricultural areas,241,Annual crops associated with permanent crops,19,#FFE6A6
Agricultural areas,Heterogeneous agricultural areas,242,Complex cultivation patterns,20,#FFE64D
Agricultural areas,Heterogeneous agricultural areas,243,"Land principally occupied by agriculture, with significant areas of natural vegetation",21,#E6CC4D
Agricultural areas,Heterogeneous agricultural areas,244,Agro-forestry areas,22,#F2CCA6
Forest and semi natural areas,Forests,311,Broad-leaved forest,23,#80FF00
Forest and semi natural areas,Forests,312,Coniferous forest,24,#00A600
Forest and semi natural areas,Forests,313,Mixed forest,25,#4DFF00
Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,321,Natural grasslands,26,#CCF24D
Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,322,Moors and heathland,27,#A6FF80
Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,323,Sclerophyllous vegetation,28,#A6E64D
Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,324,Transitional woodland-shrub,29,#A6F200
Forest and semi natural areas,Open spaces with little or no vegetation,331,"Beaches, dunes, sands",30,#E6E6E6
Forest and semi natural areas,Open spaces with little or no vegetation,332,Bare rocks,31,#CCCCCC
Forest and semi natural areas,Open spaces with little or no vegetation,333,Sparsely vegetated areas,32,#CCFFCC
Forest and semi natural areas,Open spaces with little or no vegetation,334,Burnt areas,33,#000000
Forest and semi natural areas,Open spaces with little or no vegetation,335,Glaciers and perpetual snow,34,#A6E6CC
Wetlands,Inland wetlands,411,Inland marshes,35,#A6A6FF
Wetlands,Inland wetlands,412,Peat bogs,36,#4D4DFF
Wetlands,Maritime wetlands,421,Salt marshes,37,#CCCCFF
Wetlands,Maritime wetlands,422,Salines,38,#E6E6FF
Wetlands,Maritime wetlands,423,Intertidal flats,39,#A6A6E6
Water bodies,Inland waters,511,Water courses,40,#00CCF2
Water bodies,Inland waters,512,Water bodies,41,#80F2E6
Water bodies,Marine waters,521,Coastal lagoons,42,#00FFA6
Water bodies,Marine waters,522,Estuaries,43,#A6FFE6
Water bodies,Marine waters,523,Sea and ocean,44,#E6F2FF
unclassified water bodies,,995,,48,#FFFFFF
